,zip,year_factor,count
1072,10473,2014,154
1073,10473,2015,206
1074,10473,2016,37
1075,10474,2004,38
1076,10474,2005,50
1077,10474,2006,57
1078,10474,2007,77
1079,10474,2008,78
1080,10474,2009,97
1081,10474,2010,84
1082,10474,2011,105
1083,10474,2012,66
1084,10474,2013,73
1085,10474,2014,61
1086,10474,2015,125
1087,10474,2016,17
1088,10475,2004,34
1089,10475,2005,57
1090,10475,2006,69
1091,10475,2007,47
1092,10475,2008,47
1093,10475,2009,96
1094,10475,2010,79
1095,10475,2011,77
1096,10475,2012,33
1097,10475,2013,68
1098,10475,2014,88
1099,10475,2015,57
1100,10475,2016,9
1101,10708,2004,1
1102,10803,2009,1
1103,10803,2010,1
1104,10803,2012,1
1105,11001,2004,10
1106,11001,2005,25
1107,11001,2006,12
1108,11001,2007,30
1109,11001,2008,14
1110,11001,2009,28
1111,11001,2010,21
1112,11001,2011,30
1113,11001,2012,15
1114,11001,2013,20
1115,11001,2014,16
1116,11001,2015,17
1117,11001,2016,5
1118,11004,2004,37
1119,11004,2005,51
1120,11004,2006,67
1121,11004,2007,74
1122,11004,2008,75
1123,11004,2009,115
1124,11004,2010,86
1125,11004,2011,92
1126,11004,2012,56
1127,11004,2013,82
1128,11004,2014,64
1129,11004,2015,59
1130,11004,2016,16
1131,11005,2004,2
1132,11005,2006,2
1133,11005,2007,3
1134,11005,2008,3
1135,11005,2010,2
1136,11005,2011,4
1137,11005,2012,2
1138,11005,2013,1
1139,11005,2014,4
1140,11040,2004,4
1141,11040,2005,4
1142,11040,2006,9
1143,11040,2007,13
1144,11040,2008,7
1145,11040,2009,17
1146,11040,2010,9
1147,11040,2011,26
1148,11040,2012,14
1149,11040,2013,6
1150,11040,2014,5
1151,11040,2015,9
1152,11101,2004,167
1153,11101,2005,289
1154,11101,2006,243
1155,11101,2007,260
1156,11101,2008,225
1157,11101,2009,256
1158,11101,2010,236
1159,11101,2011,262
1160,11101,2012,296
1161,11101,2013,233
1162,11101,2014,229
1163,11101,2015,256
1164,11101,2016,46
1165,11102,2004,128
1166,11102,2005,147
1167,11102,2006,179
1168,11102,2007,176
1169,11102,2008,162
1170,11102,2009,180
1171,11102,2010,153
1172,11102,2011,108
1173,11102,2012,138
1174,11102,2013,121
1175,11102,2014,139
1176,11102,2015,131
1177,11102,2016,21
1178,11103,2004,127
1179,11103,2005,194
1180,11103,2006,217
1181,11103,2007,231
1182,11103,2008,227
1183,11103,2009,228
1184,11103,2010,207
1185,11103,2011,208
1186,11103,2012,254
1187,11103,2013,285
1188,11103,2014,303
1189,11103,2015,241
1190,11103,2016,57
1191,11104,2004,102
1192,11104,2005,120
1193,11104,2006,147
1194,11104,2007,168
1195,11104,2008,153
1196,11104,2009,123
1197,11104,2010,119
1198,11104,2011,119
1199,11104,2012,103
1200,11104,2013,90
1201,11104,2014,87
1202,11104,2015,115
1203,11104,2016,28
1204,11105,2004,135
1205,11105,2005,217
1206,11105,2006,194
1207,11105,2007,245
1208,11105,2008,204
1209,11105,2009,173
1210,11105,2010,191
1211,11105,2011,202
1212,11105,2012,217
1213,11105,2013,158
1214,11105,2014,158
1215,11105,2015,152
1216,11105,2016,35
1217,11106,2004,131
1218,11106,2005,180
1219,11106,2006,215
1220,11106,2007,301
1221,11106,2008,246
1222,11106,2009,206
1223,11106,2010,179
1224,11106,2011,159
1225,11106,2012,133
1226,11106,2013,151
1227,11106,2014,181
1228,11106,2015,175
1229,11106,2016,39
1230,11109,2006,1
1231,11109,2007,3
1232,11109,2008,9
1233,11109,2009,1
1234,11109,2010,3
1235,11109,2011,1
1236,11109,2012,1
1237,11109,2013,7
1238,11109,2014,9
1239,11109,2015,5
1240,11109,2016,1
1241,11201,2004,229
1242,11201,2005,295
1243,11201,2006,338
1244,11201,2007,324
1245,11201,2008,360
1246,11201,2009,247
1247,11201,2010,259
1248,11201,2011,231
1249,11201,2012,311
1250,11201,2013,293
1251,11201,2014,300
1252,11201,2015,321
1253,11201,2016,68
1254,11203,2004,168
1255,11203,2005,282
1256,11203,2006,337
1257,11203,2007,365
1258,11203,2008,418
1259,11203,2009,623
1260,11203,2010,340
1261,11203,2011,447
1262,11203,2012,330
1263,11203,2013,456
1264,11203,2014,649
1265,11203,2015,444
1266,11203,2016,91
1267,11204,2004,212
1268,11204,2005,283
1269,11204,2006,306
1270,11204,2007,383
1271,11204,2008,388
1272,11204,2009,423
1273,11204,2010,390
1274,11204,2011,396
1275,11204,2012,299
1276,11204,2013,281
1277,11204,2014,330
1278,11204,2015,296
1279,11204,2016,58
1280,11205,2004,134
1281,11205,2005,235
1282,11205,2006,221
1283,11205,2007,253
1284,11205,2008,234
1285,11205,2009,214
1286,11205,2010,235
1287,11205,2011,297
1288,11205,2012,277
1289,11205,2013,256
1290,11205,2014,257
1291,11205,2015,288
1292,11205,2016,41
1293,11206,2004,227
1294,11206,2005,307
1295,11206,2006,349
1296,11206,2007,455
1297,11206,2008,348
1298,11206,2009,375
1299,11206,2010,294
1300,11206,2011,386
1301,11206,2012,294
1302,11206,2013,339
1303,11206,2014,311
1304,11206,2015,421
1305,11206,2016,65
1306,11207,2004,317
1307,11207,2005,391
1308,11207,2006,503
1309,11207,2007,589
1310,11207,2008,546
1311,11207,2009,516
1312,11207,2010,484
1313,11207,2011,583
1314,11207,2012,793
1315,11207,2013,582
1316,11207,2014,630
1317,11207,2015,818
1318,11207,2016,126
1319,11208,2004,267
1320,11208,2005,356
1321,11208,2006,418
1322,11208,2007,548
1323,11208,2008,429
1324,11208,2009,450
1325,11208,2010,380
1326,11208,2011,477
1327,11208,2012,437
1328,11208,2013,434
1329,11208,2014,464
1330,11208,2015,654
1331,11208,2016,125
1332,11209,2004,256
1333,11209,2005,378
1334,11209,2006,346
1335,11209,2007,393
1336,11209,2008,426
1337,11209,2009,445
1338,11209,2010,301
1339,11209,2011,351
1340,11209,2012,367
1341,11209,2013,291
1342,11209,2014,309
1343,11209,2015,321
1344,11209,2016,68
1345,11210,2004,184
1346,11210,2005,243
1347,11210,2006,255
1348,11210,2007,300
1349,11210,2008,288
1350,11210,2009,471
1351,11210,2010,290
1352,11210,2011,348
1353,11210,2012,306
1354,11210,2013,265
1355,11210,2014,331
1356,11210,2015,324
1357,11210,2016,63
1358,11211,2004,313
1359,11211,2005,529
