Zipcode,year,Borough,Neighborhood,Turnover_AllHomes,MedianSoldPrice_AllHomes,MedianSoldPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,Income
10018,2013,Manhattan,Chelsea and Clinton,12.60065833,595681.6318,1129.80942,11.36202381,86.22313492,"$409,377"
10019,2004,Manhattan,Chelsea and Clinton,4.776666667,435706.8627,716.0648312,45.56678571,51.08511905,"$177,329"
10019,2005,Manhattan,Chelsea and Clinton,7.28745,604388.7917,959.0182917,42.4572619,54.27948413,"$187,431"
10019,2006,Manhattan,Chelsea and Clinton,7.066133333,787086.0375,1097.510142,61.11440476,35.11329365,"$211,232"
10019,2007,Manhattan,Chelsea and Clinton,7.035808333,856898.5042,1141.296592,54.89535714,41.50202381,"$221,269"
10019,2008,Manhattan,Chelsea and Clinton,10.09144167,1090241.833,1296.30295,70.44297619,25.53019841,"$197,683"
10019,2009,Manhattan,Chelsea and Clinton,5.363525,1156362.34,1112.564164,67.33345238,28.72456349,"$202,251"
10019,2010,Manhattan,Chelsea and Clinton,4.927916667,949879.1667,1063.514625,58.00488095,38.30765873,"$196,477"
10019,2011,Manhattan,Chelsea and Clinton,5.825341667,949322.9167,1121.06155,64.22392857,31.91892857,"$241,353"
10019,2012,Manhattan,Chelsea and Clinton,6.765991667,840559.9687,1109.858436,48.67630952,47.89075397,"$292,340"
10019,2013,Manhattan,Chelsea and Clinton,7.496241667,833220.8333,1207.217158,51.78583333,44.69638889,"$249,619"
10021,2004,Manhattan,Upper East Side,4.09275,611368.3177,772.3945172,37.05583333,56.04791667,"$288,607"
10021,2005,Manhattan,Upper East Side,8.857491667,779771.6667,959.4905167,8.245833333,91.34666667,"$335,875"
10021,2006,Manhattan,Upper East Side,5.9502,961260.989,1061.55244,23.95333333,73.09333333,"$356,164"
10021,2007,Manhattan,Upper East Side,4.600175,953573.9804,1103.686942,26.90916667,68.43,"$495,832"
10021,2008,Manhattan,Upper East Side,5.272141667,1142057.063,1241.058217,27.27916667,66.82583333,"$406,697"
10021,2009,Manhattan,Upper East Side,4.426108333,1431323.366,1207.47464,73.5525,22.33583333,"$465,464"
10021,2010,Manhattan,Upper East Side,4.636275,1144990.688,1052.421571,48.50916667,45.2975,"$469,249"
10021,2011,Manhattan,Upper East Side,4.114408333,1011078.458,1045.831063,41.375,49.59166667,"$417,130"
10021,2012,Manhattan,Upper East Side,6.193908333,920725,1012.521322,46.8325,45.27,"$517,400"
10021,2013,Manhattan,Upper East Side,7.802208333,843856.0833,1111.648145,13.50166667,84.39333333,"$492,223"
10022,2004,Manhattan,Gramercy Park and Murray Hill,2.953341667,672211.8132,793.6038403,26.51905914,70.08634409,"$289,779"
10022,2005,Manhattan,Gramercy Park and Murray Hill,8.441025,990059.1667,960.8593667,24.97962366,71.89053763,"$362,743"
10022,2006,Manhattan,Gramercy Park and Murray Hill,7.360666667,837480.3152,1044.88758,27.0322043,69.48494624,"$401,635"
10022,2007,Manhattan,Gramercy Park and Murray Hill,7.192383333,1125136.875,1170.224364,29.08478495,67.07935484,"$486,776"
10022,2008,Manhattan,Gramercy Park and Murray Hill,7.015675,1533442.75,1264.98701,26.00591398,70.68774194,"$387,200"
10022,2009,Manhattan,Gramercy Park and Murray Hill,3.944691667,1272812,1062.447412,28.05849462,68.28215054,"$375,813"
10022,2010,Manhattan,Gramercy Park and Murray Hill,3.705158333,1333860.294,1134.292387,28.57163978,67.68075269,"$474,705"
10022,2011,Manhattan,Gramercy Park and Murray Hill,4.3487,929880.8824,1072.931329,25.49276882,71.28913978,"$395,800"
10022,2012,Manhattan,Gramercy Park and Murray Hill,5.777725,800047.5,1044.889361,27.54534946,68.88354839,"$423,852"
10022,2013,Manhattan,Gramercy Park and Murray Hill,7.606141667,764860.4167,1065.129038,24.46647849,72.49193548,"$507,418"
10023,2004,Manhattan,Upper West Side,3.515508333,747098.0063,913.3507884,30.11107527,65.87655914,"$189,333"
10023,2005,Manhattan,Upper West Side,5.876558333,883108.8958,1075.251983,32.67680108,62.86956989,"$224,017"
10023,2006,Manhattan,Upper West Side,4.291783333,1058421.802,1166.590355,29.59793011,66.47795699,"$256,468"
10023,2007,Manhattan,Upper West Side,5.982708333,1302331.842,1254.227667,30.62422043,65.27516129,"$298,052"
10023,2008,Manhattan,Upper West Side,8.078358333,1982876.864,1551.413967,31.65051075,64.07236559,"$264,375"
10023,2009,Manhattan,Upper West Side,4.735983333,1338322.968,1226.295855,32.16365591,63.47096774,"$255,668"
10023,2010,Manhattan,Upper West Side,6.342566667,1190665.021,1196.672758,34.21623656,61.06537634,"$267,904"
10023,2011,Manhattan,Upper West Side,4.197991667,1088334.396,1242.915082,33.18994624,62.26817204,"$267,707"
10023,2012,Manhattan,Upper West Side,5.8292,811350,1216.660832,33.7030914,61.66677419,"$320,455"
10023,2013,Manhattan,Upper West Side,6.587716667,839783.3333,1368.799197,31.13736559,64.67376344,"$315,897"
10024,2004,Manhattan,Upper West Side,3.437533333,658670.0065,800.2051918,35.75567204,59.2611828,"$205,859"
10024,2005,Manhattan,Upper West Side,7.443408333,753640.2139,962.9381308,34.72938172,60.46397849,"$228,414"
10024,2006,Manhattan,Upper West Side,6.114766667,917235.2941,1081.128957,36.78196237,58.0583871,"$255,278"
10024,2007,Manhattan,Upper West Side,4.8659,1129637.582,1109.773131,35.24252688,59.86258065,"$284,085"
10024,2008,Manhattan,Upper West Side,4.766191667,1246771.116,1196.276505,36.2688172,58.65978495,"$253,927"
10024,2009,Manhattan,Upper West Side,3.929416667,768706.0413,972.586749,38.83454301,55.6527957,"$225,880"
10024,2010,Manhattan,Upper West Side,5.035575,1130484.54,1048.048507,39.34768817,55.05139785,"$257,495"
10024,2011,Manhattan,Upper West Side,5.301308333,1565946.536,1165.409306,38.32139785,56.25419355,"$264,897"
10024,2012,Manhattan,Upper West Side,6.012358333,1001324,1025.76529,37.29510753,57.45698925,"$303,191"
10024,2013,Manhattan,Upper West Side,7.6983,1020673.167,1247.558387,37.80825269,56.8555914,"$296,975"
10025,2004,Manhattan,Upper West Side,1.824908333,505209.8756,674.9506454,28.86958333,66.55166667,"$87,004"
10025,2005,Manhattan,Upper West Side,5.079116667,724533.0333,850.47387,6.833333333,92.77333333,"$93,052"
10025,2006,Manhattan,Upper West Side,4.312575,696617.1888,855.7786909,21.6875,74.995,"$104,423"
10025,2007,Manhattan,Upper West Side,6.0895,678748.7807,952.0881,34.455,60.55333333,"$113,590"
10025,2008,Manhattan,Upper West Side,7.009066667,804156.0192,1027.181682,39.86083333,54.45,"$112,988"
10025,2009,Manhattan,Upper West Side,4.08155,640658.8376,849.6947907,69.56666667,26.04916667,"$102,955"
10025,2010,Manhattan,Upper West Side,4.074925,765006.4498,866.9377091,41.49666667,52,"$114,179"
10025,2011,Manhattan,Upper West Side,3.987758333,796159.2143,931.6409106,32.37,58.86583333,"$119,151"
10025,2012,Manhattan,Upper West Side,5.488791667,724866.7009,939.399,48.90916667,43.49666667,"$131,910"
10025,2013,Manhattan,Upper West Side,6.838808333,756694.5083,1075.2889,8.83,89.60666667,"$130,993"
10026,2004,Manhattan,Central Harlem,3.671890909,304338.0564,418.0482602,11.8403252,86.40813008,"$31,561"
10026,2005,Manhattan,Central Harlem,12.29146667,362049.75,439.111334,9.582581301,88.80703252,"$35,435"
10026,2006,Manhattan,Central Harlem,7.766125,642570.1154,456.8503169,11.0877439,87.20776423,"$38,475"
10026,2007,Manhattan,Central Harlem,7.198875,694159.9548,685.5946926,14.85065041,83.2095935,"$41,216"
10026,2008,Manhattan,Central Harlem,12.43328333,595030.0731,576.3663033,12.5929065,85.60849593,"$46,278"
10026,2009,Manhattan,Central Harlem,12.85035833,542004.8944,565.2668527,10.3351626,88.00739837,"$45,778"
10026,2010,Manhattan,Central Harlem,5.843633333,639477.353,609.7688297,14.09806911,84.00922764,"$47,443"
