zip,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11106,1,1.684811491,1.949600982,1.681085141,1.113559222,0.888387224,1.117075523,1.452132932,0.975394084,1.125999271,2.290680589,1.445999271
10128,1,1.630264398,1.44542049,1.992736457,2.183987504,1.507158742,1.51534353,1.60974155,2.196677738,1.845925715,1.827018152,2.660631597
11201,1,1.157983835,1.637753096,1.593666023,1.576036885,1.820705085,1.512533311,1.154630379,1.608605034,1.338286873,1.877215444,1.868882111
11204,1,1.128540982,1.38205559,1.40838533,1.350171582,1.215200385,1.171203285,2.010932709,1.90196755,1.283928217,1.620087028,1.186960734
11206,1,1.004560613,1.451398594,1.507876617,1.167392324,1.429500989,1.501009731,1.310807687,1.507327439,1.75383708,1.767592048,1.728626996
11207,1,0.994575812,1.217516909,1.17743561,1.289856778,0.979830507,1.006338592,1.584726197,1.306222455,1.271620882,1.215625472,1.35542864
11208,1,1.704533638,2.029021956,2.04683582,1.499715657,1.231584198,1.246955333,1.480382745,1.295708979,1.426156695,1.337904268,1.579830686
11209,1,1.500659672,1.717578858,1.595176653,1.466213236,1.333995615,1.326718212,1.096252383,1.336410544,1.63097912,1.409160938,1.461888211
11211,1,1.747167886,1.603808047,1.810494019,1.638442203,1.569960295,1.469660386,1.678144602,1.798069407,1.708770599,1.836678575,1.982375173
11212,1,1.807073499,1.409351914,1.94044984,1.131655312,1.89570485,1.233141651,1.520776939,1.787225596,1.644413368,1.52711777,1.877275003
11214,1,1.625246765,1.350160862,1.801242011,1.269660982,1.344187828,1.425117281,1.649064767,1.663026281,1.051968521,1.060579632,3.184493773
11215,1,1.711413184,1.929796447,1.890881229,1.796679232,1.544484271,1.423515391,1.630151027,1.478062084,1.502475548,1.522815939,1.69362481
11217,1,1.262317054,1.260232723,1.319797523,1.179195302,1.053565664,0.983569071,1.280871183,1.233768494,1.52741119,1.823648848,1.779811599
11218,1,1.230511564,1.220602445,1.192245063,1.272487556,1.132719594,1.12531064,1.071586204,1.262731804,1.027437545,1.580450824,1.21166635
11219,1,1.048232914,1.027786377,1.061425483,0.932336785,1.069125961,0.944623246,1.040652539,1.303814566,1.21723028,1.166218684,1.712579404
11220,1,1.603050963,1.418098888,1.755680478,1.207207327,1.278602323,1.189800925,1.282654351,2.156179518,1.677006075,1.329632337,1.389375927
11221,1,1.506876586,1.518947759,2.058987538,1.245037981,1.00836129,0.970245927,1.0993352,1.125485647,1.384928581,1.770695005,1.397201374
11222,1,1.67361594,2.273387433,2.524749589,1.475093088,1.707954047,1.292870037,1.277058198,1.468565309,1.379150029,1.988609106,2.060656684
11223,1,1.126968801,0.977847091,1.1257368,1.060473729,1.002852592,0.934398598,0.971879502,0.92883926,0.968856402,0.953578625,0.859411958
11224,1,1.143621248,1.20627119,1.134131873,1.12704339,1.075177418,1.348584174,1.120177992,1.118930103,1.158775049,0.969317684,1.01862001
11225,1,2.133696562,1.354591792,1.322665934,1.688653217,1.491875371,1.361426231,1.490485454,1.832824369,1.547548313,1.726517385,1.211863482
11226,1,1.27848041,1.18233288,1.453239024,1.600323073,1.338093164,1.283381478,1.118208297,1.462206818,1.357913793,1.386809767,1.553338265
