# This automated data download from the USGS Tracking Water Quality of the Nation's Rivers and Streams website have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_QW_ID USGS station identifier for water-quality sampling (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID USGS or other agency station identifier for streamflow measurement (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#CONSTIT Abbreviation indicating constituent type.  Values include NO3+NO2: nitrate plus nitrite as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration
#WY Water year; the 12-month period beginning on October 1 for any given year and lasting through September 30 of the following year. The water year is designated by the calendar year in which it ends.
#MODTYPE The type of model used to compute load values.  Values include "COMP" indicating the composite method; "CONTIN" indicating loads were computed through the use of continuous nitrate data; "DAILY" indicated data were computed using daily values (SSC only); REG indicating models were computed using regression methods described in the technical information portion of the website using a 5-year moving window; "REG_2; REG_3; REG_4" indicating models were computed using regression methods described in the technical information portion of the website but with a 2 3 or 4-year moving windows (respectively) as opposed to a 5-year moving window; "REG_PRELIM" indicating that a model was developed using data collecting during the initial 2-4 years in which a site was sampled; models at these sites will continue to be updated until 5 years of data are collected; and "REGHIST" indicating that models were historically computed according to procedures described in Aulenbach and others (2007)
#TONS Load in tons
#TONS_L95 Lower 95% confidence interval of the water-quality load in tons
#TONS_U95 Upper 95% confidence interval of the water-quality load in tons
#FWC Annual flow-weighted concentrations in milligrams per liter
#YIELD  Yield in tons per square mile
SITE_QW_ID,SITE_FLOW_ID,CONSTIT,WY,MODTYPE,TONS_LOAD,TONS_L95,TONS_U95,FWC,YIELD
05331580,05331580,TP,2014,REG_PRELIM,4390.0,3340.0,5680.0,0.197,0.118
05420500,05420500,NO3_NO2,2014,REG,141000.0,105000.0,187000.0,2.07,1.65
05420500,05420500,SSC,2014,REG,4850000.0,3940000.0,5920000.0,71.0,56.7
05420500,05420500,TN,2014,REG,196000.0,173000.0,222000.0,2.87,2.29
05420500,05420500,TP,2014,REG,13600.0,11800.0,15600.0,0.199,0.159
05451210,05451210,NO3_NO2,2014,REG,168.0,106.0,255.0,0.909,0.751
05451210,05451210,SSC,2014,REG,1320.0,506.0,2860.0,7.15,5.9
05451210,05451210,TN,2014,REG_PRELIM,150.0,110.0,199.0,0.81,0.668
05451210,05451210,TP,2014,REG,3.53,1.34,7.74,0.0191,0.0158
05465500,05465500,NO3_NO2,2014,REG,58100.0,39700.0,82100.0,5.71,4.65
05465500,05465500,SSC,2014,REG,2410000.0,1470000.0,3740000.0,237.0,193.0
05465500,05465500,TN,2014,REG,76800.0,66700.0,88100.0,7.55,6.15
05465500,05465500,TP,2014,REG,5000.0,4410.0,5640.0,0.491,0.4
05490500,05490500,NO3_NO2,2014,REG,53900.0,34700.0,80000.0,7.11,3.84
05490500,05490500,SSC,2014,REG,2380000.0,1670000.0,3270000.0,314.0,169.0
05490500,05490500,TN,2014,REG,54300.0,44600.0,65600.0,7.17,3.87
05490500,05490500,TP,2014,REG,3570.0,3020.0,4210.0,0.472,0.255
05586100,05586100,NO3_NO2,2014,CONTIN,75900.0,73900.0,78000.0,3.07,2.84
05586100,05586100,NO3_NO2,2014,REG,78600.0,68500.0,89800.0,3.18,2.94
05586100,05586100,SSC,2014,REG,4890000.0,3780000.0,6220000.0,198.0,183.0
05586100,05586100,TN,2014,REG,106000.0,94500.0,120000.0,4.3,3.98
05586100,05586100,TP,2014,REG,11200.0,10100.0,12500.0,0.454,0.42
05587455,05587455,NO3_NO2,2014,REG,343000.0,266000.0,436000.0,2.58,2.0
05587455,05587455,TN,2014,REG,464000.0,431000.0,498000.0,3.48,2.71
05587455,05587455,TP,2014,REG,39100.0,36100.0,42200.0,0.293,0.228
06329500,06329500,NO3_NO2,2014,REG,5560.0,3630.0,8150.0,0.352,0.0804
06329500,06329500,SSC,2014,REG,12000000.0,7100000.0,18900000.0,758.0,173.0
06329500,06329500,TN,2014,REG,18300.0,15300.0,21700.0,1.16,0.265
06329500,06329500,TP,2014,REG,7310.0,4360.0,11500.0,0.463,0.106
06610000,06610000,NO3_NO2,2014,REG,23100.0,14800.0,34300.0,0.732,0.0715
06610000,06610000,SSC,2014,DAILY,10600000.0,,,335.0,32.8
06610000,06610000,TN,2014,REG,50000.0,37700.0,65000.0,1.58,0.155
06610000,06610000,TP,2014,REG,9800.0,7940.0,12000.0,0.311,0.0304
06713500,06713500,NO3_NO2,2014,REG_3,33.8,31.5,36.3,0.968,0.0825
06713500,06713500,SSC,2014,REG_3,3910.0,1530.0,8300.0,112.0,9.54
06713500,06713500,TN,2014,REG_PRELIM,61.1,56.9,65.5,1.75,0.149
06713500,06713500,TP,2014,REG_3,5.89,5.11,6.75,0.169,0.0144
06800000,06800000,NO3_NO2,2014,REG_4,436.0,343.0,552.0,4.21,1.19
06800000,06800000,SSC,2014,REG_4,356000.0,165000.0,731000.0,3430.0,967.0
06800000,06800000,TN,2014,REG_3,1360.0,943.0,1920.0,13.1,3.69
06800000,06800000,TP,2014,REG_4,310.0,183.0,509.0,2.99,0.843
06800500,06800500,NO3_NO2,2014,REG_PRELIM,8170.0,5370.0,11900.0,4.62,1.18
06800500,06800500,SSC,2014,REG_PRELIM,2930000.0,1370000.0,5530000.0,1660.0,425.0
06800500,06800500,TP,2014,REG_PRELIM,2570.0,2040.0,3200.0,1.46,0.373
06805500,06805500,NO3_NO2,2014,REG,19800.0,12800.0,29200.0,2.63,0.232
06805500,06805500,SSC,2014,REG,8650000.0,6570000.0,11200000.0,1150.0,101.0
06805500,06805500,TN,2014,REG,29100.0,25800.0,32600.0,3.86,0.34
06805500,06805500,TP,2014,REG,6000.0,5250.0,6820.0,0.796,0.0703
06892350,06892350,SSC,2014,REG_PRELIM,2170000.0,821000.0,4700000.0,786.0,36.3
06892350,06892350,TN,2014,REG_PRELIM,7470.0,6300.0,8800.0,2.71,0.125
06892350,06892350,TP,2014,REG_PRELIM,1910.0,1600.0,2280.0,0.694,0.032
06902000,06902000,NO3_NO2,2014,REG_2,4060.0,303.0,18200.0,1.07,0.59
06902000,06902000,TN,2014,REG,24000.0,16000.0,34800.0,6.34,3.49
06902000,06902000,TP,2014,REG,8140.0,4010.0,14800.0,2.15,1.18
06926510,06926510,NO3_NO2,2014,REG,664.0,367.0,1110.0,0.165,0.0456
06926510,06926510,TN,2014,REG,2730.0,2290.0,3230.0,0.678,0.187
06926510,06926510,TP,2014,REG,287.0,221.0,366.0,0.0712,0.0196
06934500,06934500,NO3_NO2,2014,REG,83700.0,64600.0,107000.0,1.36,0.16
06934500,06934500,TN,2014,REG,145000.0,126000.0,168000.0,2.37,0.278
06934500,06934500,TP,2014,REG,29900.0,22400.0,39100.0,0.487,0.0572
07022000,07022000,NO3_NO2,2014,REG,457000.0,396000.0,524000.0,2.17,0.64
07022000,07022000,TN,2014,REG,702000.0,648000.0,760000.0,3.33,0.985
07022000,07022000,TP,2014,REG,101000.0,89000.0,115000.0,0.481,0.142
07060710,07060710,NO3_NO2,2014,REG,1.3,1.0,1.67,0.0379,0.0224
07144100,07144100,NO3_NO2,2014,REG,157.0,70.0,307.0,0.905,0.127
07144100,07144100,SSC,2014,REG,111000.0,60900.0,185000.0,636.0,89.3
07144100,07144100,TN,2014,REG,559.0,434.0,710.0,3.21,0.451
07144100,07144100,TP,2014,REG,144.0,118.0,175.0,0.829,0.116
07241550,07241550,NO3_NO2,2014,REG,688.0,637.0,743.0,3.25,0.05
07241550,07241550,TN,2014,REG,985.0,929.0,1040.0,4.64,0.0715
07241550,07241550,TP,2014,REG,270.0,240.0,303.0,1.27,0.0196
07263620,07263450,NO3_NO2,2014,REG,5090.0,4210.0,6100.0,0.242,0.0322
07263620,07263450,SSC,2014,REG,452000.0,322000.0,618000.0,21.5,2.86
07263620,07263450,TN,2014,REG,17100.0,16200.0,18100.0,0.812,0.108
07263620,07263450,TP,2014,REG,2230.0,2050.0,2430.0,0.106,0.0141
07288650,07288650,NO3_NO2,2014,REG_4,948.0,393.0,1940.0,1.24,1.96
07288650,07288650,SSC,2014,REG,209000.0,152000.0,280000.0,274.0,432.0
07288650,07288650,TN,2014,REG_4,1410.0,1080.0,1800.0,1.84,2.91
07288650,07288650,TP,2014,REG,318.0,247.0,404.0,0.417,0.657
07288955,07288955,NO3_NO2,2014,REG,7210.0,5820.0,8840.0,0.418,0.54
